Summary of the training: 
(' ave_R ', 321.57, ' std_R ', 315.13, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 8581773, ' epi', 8700, ' clock ', 18.51, ' min')
(' ave_R ', 303.49, ' std_R ', 312.09, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 8728714, ' epi', 8800, ' clock ', 18.8, ' min')
(' ave_R ', 293.3, ' std_R ', 304.37, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 8912198, ' epi', 8900, ' clock ', 19.18, ' min')
(' ave_R ', 304.3, ' std_R ', 306.91, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 9140686, ' epi', 9000, ' clock ', 19.58, ' min')
(' ave_R ', 319.36, ' std_R ', 316.74, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 9373423, ' epi', 9100, ' clock ', 19.98, ' min')
(' ave_R ', 313.45, ' std_R ', 312.88, ' min_R ', 0.0, ' max_R ', 1443.1, ' times ', 9553848, ' epi', 9200, ' clock ', 20.31, ' min')
(' ave_R ', 312.19, ' std_R ', 295.39, ' min_R ', 0.0, ' max_R ', 1299.37, ' times ', 9791307, ' epi', 9300, ' clock ', 20.75, ' min')
(' ave_R ', 306.05, ' std_R ', 299.29, ' min_R ', 0.0, ' max_R ', 1299.37, ' times ', 10005832, ' epi', 9400, ' clock ', 21.16, ' min')
(' ave_R ', 299.81, ' std_R ', 287.15, ' min_R ', 0.0, ' max_R ', 1299.37, ' times ', 10221735, ' epi', 9500, ' clock ', 21.55, ' min')
(' ave_R ', 306.09, ' std_R ', 290.22, ' min_R ', 0.0, ' max_R ', 1299.37, ' times ', 10436369, ' epi', 9600, ' clock ', 21.95, ' min')
(' ave_R ', 311.62, ' std_R ', 296.68, ' min_R ', 0.0, ' max_R ', 1299.37, ' times ', 10714285, ' epi', 9700, ' clock ', 22.46, ' min')
(' ave_R ', 335.12, ' std_R ', 304.01, ' min_R ', 0.0, ' max_R ', 1299.37, ' times ', 10932053, ' epi', 9800, ' clock ', 22.91, ' min')
(' ave_R ', 342.86, ' std_R ', 303.34, ' min_R ', 0.0, ' max_R ', 1299.37, ' times ', 11164661, ' epi', 9900, ' clock ', 23.33, ' min')
(' ave_R ', 342.3, ' std_R ', 304.59, ' min_R ', 0.0, ' max_R ', 1299.37, ' times ', 11377150, ' epi', 10000, ' clock ', 23.74, ' min')
(' ave_R ', 324.31, ' std_R ', 278.19, ' min_R ', 0.0, ' max_R ', 1259.84, ' times ', 11596464, ' epi', 10100, ' clock ', 24.18, ' min')
(' ave_R ', 327.72, ' std_R ', 272.72, ' min_R ', 0.0, ' max_R ', 1259.84, ' times ', 11852074, ' epi', 10200, ' clock ', 24.72, ' min')
(' ave_R ', 331.65, ' std_R ', 273.33, ' min_R ', 0.0, ' max_R ', 1118.58, ' times ', 12132591, ' epi', 10300, ' clock ', 25.22, ' min')
(' ave_R ', 335.12, ' std_R ', 269.13, ' min_R ', 0.0, ' max_R ', 1118.58, ' times ', 12376044, ' epi', 10400, ' clock ', 25.64, ' min')
(' ave_R ', 334.18, ' std_R ', 285.0, ' min_R ', 0.0, ' max_R ', 1593.22, ' times ', 12610765, ' epi', 10500, ' clock ', 26.09, ' min')
(' ave_R ', 338.95, ' std_R ', 282.81, ' min_R ', 0.0, ' max_R ', 1593.22, ' times ', 12885625, ' epi', 10600, ' clock ', 26.6, ' min')
(' ave_R ', 327.16, ' std_R ', 269.94, ' min_R ', 0.0, ' max_R ', 1593.22, ' times ', 13100383, ' epi', 10700, ' clock ', 26.98, ' min')
(' ave_R ', 338.62, ' std_R ', 289.99, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 13344708, ' epi', 10800, ' clock ', 27.41, ' min')
(' ave_R ', 345.37, ' std_R ', 328.32, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 13611434, ' epi', 10900, ' clock ', 27.88, ' min')
(' ave_R ', 343.02, ' std_R ', 329.24, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 13854688, ' epi', 11000, ' clock ', 28.32, ' min')
(' ave_R ', 358.77, ' std_R ', 342.06, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 14113945, ' epi', 11100, ' clock ', 28.77, ' min')
(' ave_R ', 371.01, ' std_R ', 367.09, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 14374624, ' epi', 11200, ' clock ', 29.21, ' min')
(' ave_R ', 370.78, ' std_R ', 373.32, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 14631446, ' epi', 11300, ' clock ', 29.64, ' min')
(' ave_R ', 384.2, ' std_R ', 377.87, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 14872091, ' epi', 11400, ' clock ', 30.08, ' min')
(' ave_R ', 386.47, ' std_R ', 366.32, ' min_R ', 0.0, ' max_R ', 1676.66, ' times ', 15089621, ' epi', 11500, ' clock ', 30.49, ' min')
